	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
f2a37f9e, 6f18da51, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
a34e4099, 190699bb, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
44d1bbbe, e2492866, e7a4cd81, e7a4cd81, 	 0, 		0, 			0, 			1, 		0, 		0 
cb0fa29c, b0129bb4, 3ba48433, 3ba48433, 	 0, 		1, 			1, 			1, 		0, 		0 
02eaacb0, 36ea4142, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
dae413b3, 5dcd5aef, f936f4ca, f936f4ca, 	 0, 		0, 			1, 			1, 		0, 		0 
0a64266d, 0ecf746f, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
38deef30, a5a9e021, 9f13ef15, 9f13ef15, 	 0, 		1, 			1, 			1, 		0, 		0 
42757200, 60a9b5a7, 63a2b66c, 63a2b66c, 	 0, 		1, 			1, 			1, 		0, 		0 
71b6ed98, 8e4d937b, c092e5a5, c092e5a5, 	 0, 		0, 			0, 			1, 		0, 		0 
4d955899, f2a8ef9b, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
a078a91b, 907fd980, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
2f867b0e, e427f4b7, d43075a7, d43075a7, 	 0, 		0, 			0, 			1, 		0, 		0 
07947b8f, d42c948a, 9c483257, 9c483257, 	 0, 		0, 			0, 			1, 		0, 		0 
a100dba3, 903332a2, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
ab457941, fd0c2a1d, 68d83d98, 68d83d98, 	 0, 		1, 			0, 			1, 		0, 		0 
368778e7, 59f50753, 5101aa95, 5101aa95, 	 0, 		0, 			1, 			1, 		0, 		0 
5469c50d, d4f29d5e, e9dd8bfa, e9dd8bfa, 	 0, 		1, 			1, 			1, 		0, 		0 
925ef9b5, cdf34c01, 20d3e93a, 20d3e93a, 	 0, 		1, 			1, 			1, 		0, 		0 
ea6d625c, c46a7082, 6f59643c, 6f59643c, 	 0, 		1, 			1, 			1, 		0, 		0 
37e676a7, 3dab8a07, 361a6d84, 361a6d84, 	 0, 		1, 			1, 			1, 		0, 		0 
34a6386b, 3e7223cc, 339d3893, 339d3893, 	 0, 		0, 			1, 			1, 		0, 		0 
6286a24a, 694c6509, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
75334393, 25a53586, 5b676011, 5b676011, 	 0, 		0, 			1, 			1, 		0, 		0 
0ccd8951, 5a4cdf94, 27a47cee, 27a47cee, 	 0, 		1, 			1, 			1, 		0, 		0 
cbb3c667, 05eb97f0, 922571d3, 922571d3, 	 0, 		0, 			0, 			1, 		0, 		0 
26a9953b, c3111af0, aa403ebd, aa403ebd, 	 0, 		0, 			0, 			1, 		0, 		0 
b4b8e39a, c2ef0f31, 382ca775, 382ca775, 	 0, 		0, 			1, 			1, 		0, 		0 
b289e167, a46ea182, 1780868b, 1780868a, 	 0, 		1, 			0, 			0, 		0, 		0 
079b055d, 465bfea8, 0e8537cc, 0e8537cc, 	 0, 		1, 			0, 			1, 		0, 		0 
49e02729, 86dd89f9, 9141fa9d, 9141fa9d, 	 0, 		0, 			1, 			1, 		0, 		0 
df531e22, abbb13bf, 4b9a474c, 4b9a474c, 	 0, 		1, 			0, 			1, 		0, 		0 
236c8e30, ad85db00, 91776079, 91776079, 	 0, 		0, 			1, 			1, 		0, 		0 
de62d883, de0a636e, 7cf541a4, 7cf541a4, 	 0, 		1, 			1, 			1, 		0, 		0 
7b613922, f106ade7, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
b409efe5, b4b48cd6, 2942911f, 2942911f, 	 0, 		0, 			0, 			1, 		0, 		0 
0a8edefc, 49f9e44d, 150b764d, 150b764d, 	 0, 		1, 			1, 			1, 		0, 		0 
5d3ae6a5, 33650232, 512731ec, 512731ec, 	 0, 		1, 			1, 			1, 		0, 		0 
f79f6b8b, a09da976, 58c45cf7, 58c45cf7, 	 0, 		0, 			1, 			1, 		0, 		0 
33511eb0, fe1d3d8d, f2007219, f2007219, 	 0, 		0, 			1, 			1, 		0, 		0 
6eef8c88, c8fdc3a1, f86d74f1, f86d74f1, 	 0, 		0, 			0, 			1, 		0, 		0 
bf16a1ff, d3eb0d66, 538a4e97, 538a4e97, 	 0, 		0, 			1, 			1, 		0, 		0 
67976263, eae0e986, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
8c64e152, 8865d1e2, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
98f2a9ad, a0c40f90, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
7c9b6bf5, 8853086d, c5801f18, c5801f18, 	 0, 		0, 			1, 			1, 		0, 		0 
de36536d, 6d3d715d, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
367b6527, 375d8403, 2e5987f6, 2e5987f6, 	 0, 		1, 			1, 			1, 		0, 		0 
1e5ead59, 1cf372b9, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
efdab3a1, 9d579ca2, 4db832ac, 4db832ac, 	 0, 		0, 			0, 			1, 		0, 		0 
35953688, 17a431f1, 0dbf6816, 0dbf6816, 	 0, 		0, 			0, 			1, 		0, 		0 
27742a3f, 82e32589, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
cd7b7aae, 3f4243e3, cd3ed5a8, cd3ed5a8, 	 0, 		1, 			1, 			1, 		0, 		0 
6e5c874a, d8dc63a6, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
fef899b7, b8a2cab7, 781e1621, 781e1621, 	 0, 		1, 			1, 			1, 		0, 		0 
76329210, e217ce1c, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
7fd486df, b247b57f, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			1, 		0, 		0 
476e5f03, be6b4ee8, c65b1ab1, c65b1ab1, 	 0, 		1, 			1, 			1, 		0, 		0 
4a6ac31c, 304274e0, 3b325309, 3b325309, 	 0, 		0, 			0, 			1, 		0, 		0 
3d4c6fcb, 037781d3, 0145a78a, 0145a78a, 	 0, 		1, 			1, 			1, 		0, 		0 
7909f46b, 61acad77, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
89ed150a, 0efa977d, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
d07f459a, f02a40c1, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
49be9681, 1f361027, 29878b06, 29878b06, 	 0, 		0, 			1, 			1, 		0, 		0 
f7703d18, dc7efa03, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
6c4ee634, 01c5b510, 2e9fc97c, 2e9fc97c, 	 0, 		1, 			1, 			1, 		0, 		0 
5c44c35c, 546820bc, 71326a34, 71326a34, 	 0, 		0, 			1, 			1, 		0, 		0 
143e5dcf, 1135a3b4, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
207902b1, 7b9d7744, 5c992aa9, 5c992aa9, 	 0, 		1, 			1, 			1, 		0, 		0 
96a70363, d9b631d6, 30edb9d7, 30edb9d7, 	 0, 		0, 			1, 			1, 		0, 		0 
2f41a4c2, d64ae354, c61977f6, c61977f6, 	 0, 		1, 			1, 			1, 		0, 		0 
e92944eb, f5fb8b0c, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
439ac287, 462d1126, 4a513fa6, 4a513fa6, 	 0, 		0, 			1, 			1, 		0, 		0 
2219c977, 4093815f, 233138ce, 233138ce, 	 0, 		1, 			1, 			1, 		0, 		0 
4306c904, 9903c26f, 9c8abe78, 9c8abe78, 	 0, 		1, 			1, 			1, 		0, 		0 
de2ca8f4, f3d5b103, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
6d645378, 24ad2b4e, 529a7308, 529a7308, 	 0, 		1, 			1, 			1, 		0, 		0 
ab21413b, 72877e16, de2ab1a4, de2ab1a4, 	 0, 		0, 			1, 			1, 		0, 		0 
bbf67aa9, 9aa16ba1, 171b6ac5, 171b6ac4, 	 0, 		1, 			0, 			0, 		0, 		0 
aa78944b, 34751ba1, 9f6e00c0, 9f6e00c0, 	 0, 		1, 			1, 			1, 		0, 		0 
6d76da39, eec47ece, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
d4c568a2, addb1374, 4328ef83, 4328ef83, 	 0, 		1, 			1, 			1, 		0, 		0 
585298eb, 40bf7d1a, 599d8701, 599d8701, 	 0, 		0, 			1, 			1, 		0, 		0 
ea2de75a, 1810659c, c2c42e52, c2c42e52, 	 0, 		1, 			1, 			1, 		0, 		0 
364e2180, 6a1dece1, 60fe528f, 60fe528f, 	 0, 		0, 			0, 			1, 		0, 		0 
b484efd6, 1f0b14f3, 94107234, 94107234, 	 0, 		0, 			1, 			1, 		0, 		0 
82aea764, bdeba272, 0120c27c, 0120c27c, 	 0, 		0, 			1, 			1, 		0, 		0 
164ca743, 87aea96b, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
87a74ca4, 0ef458f8, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
6132e27f, 69b8ef31, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
36d69ef2, 74de2407, 6c3a3c0a, 6c3a3c0a, 	 0, 		0, 			0, 			1, 		0, 		0 
cd17ec00, 064f7d86, 93f644a4, 93f644a4, 	 0, 		1, 			0, 			1, 		0, 		0 
6bf43def, 1234bf6b, 3eac722c, 3eac722c, 	 0, 		0, 			1, 			1, 		0, 		0 
068fa8d7, 8dafad02, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
