	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
abc1aaf6, 5ae36a4a, c72c0b01, c72c0b01, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
f9a08967, 00e9e021, bb12a99c, bb12a99c, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
50a06767, 960f8298, a733d72c, a733d72c, 	 0, 		1, 			0, 			1, 		0, 		0, 		0	
20caae2a, 9e7cf856, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
ae70550e, 147974a3, 836a303a, 836a303a, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
bf556706, 3f4e4199, bf2bef96, bf2bef96, 	 0, 		1, 			0, 			1, 		0, 		0, 		0	
e5d8835c, f29f44d8, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
a7030375, 71c2b659, d9474be1, d9474be1, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
47a8257c, 841bc79d, 8c4ca39d, 8c4ca39d, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
bd0b5508, c4232660, 41b1980e, 41b1980e, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
ccb4b0c3, 9f473a4e, 2c8c9e8f, 2c8c9e8f, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
5f935faa, 4ec3a497, 6ee1413d, 6ee1413d, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
eb428876, 273e2b86, d310825a, d310825a, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
80000000, 00000000, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
d7a28452, 87fb5aa8, 201f914a, 201f914a, 	 0, 		1, 			0, 			1, 		0, 		0, 		0	
bd7c14b3, 670e6855, e50c3a37, e50c3a37, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
bd5c66f6, a3403723, 21257cb1, 21257cb1, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
0480b08b, 39771342, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
cfc70ded, 69f93817, fa41c828, fa41c828, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
49054d67, 598aa32c, 63106161, 63106161, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
65aa8074, 5ba64eda, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
492f5533, b669eea1, c02037fb, c02037fb, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
12ca6400, 799492e2, 4ceaebdf, 4ceaebdf, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
9c778b25, f549e837, 52433ccb, 52433ccb, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
2727c680, 49b2e243, 316a789c, 316a789c, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
f6a901db, 56a3c44d, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
e2288cb8, 38fde81b, dba72be3, dba72be3, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
e9e80336, 6a48e4d4, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
f99b5e51, 16439aee, d06d6dbe, d06d6dbe, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
7b16a1e4, 56e569e7, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
a99a7b70, 5f2a4c53, c94d880e, c94d880e, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
475bf4b3, 607b32ec, 6857d4ac, 6857d4ac, 	 0, 		0, 			0, 			1, 		0, 		0, 		0	
05513937, 32ebc311, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
7ae16a1d, 8f78818b, cadad0dd, cadad0dd, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
ef914606, e07d96ce, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
4a3a2598, 9ea14755, a96a8b06, a96a8b06, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
175118db, bd648ec6, 953aaec0, 953aaec0, 	 0, 		1, 			0, 			1, 		0, 		0, 		0	
13939fda, 41a08253, 15b91e1e, 15b91e1e, 	 0, 		1, 			0, 			1, 		0, 		0, 		0	
8d83946a, 54636d46, a269c988, a269c988, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
00000000, fff036ca, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			1, 		0, 		0, 		1	
7fc30969, ff800000, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			1, 		1, 		0, 		1	
f642e26a, 1b217adf, d1f5dbdd, d1f5dbdd, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
c1b96a1b, 733407e8, f5826455, f5826455, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
24f3c309, bb203c14, a098931a, a098931a, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
6449490b, 2ce90cb9, 51b73d7c, 51b73d7c, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
2baedd73, 3dbc720e, 2a00b889, 2a00b889, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
787998af, e31a5d54, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
87bf049a, 9a78d423, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
ee856e98, 97f8f375, 4701c208, 4701c208, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
