	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
ebb79f94, 32e42b50, df23a931, df23a931, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
a48e0593, f108d273, 5617cf6d, 5617cf6d, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
735d5460, ffa48371, 7fc00000, 7fc00000, 	 0, 		0, 			0, 			1, 		1, 		0, 		1	
a416434c, 08a02bd9, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
36e8ba0c, f44b48c5, ebb8cdaf, ebb8cdaf, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
ed47b270, d4d38abe, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
324e7577, 6187626b, 545a5ea2, 545a5ea2, 	 0, 		0, 			0, 			1, 		0, 		0, 		0	
a3074d37, 6e83a48d, d20b26f6, d20b26f6, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
eb40f07d, fb344250, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0, 		0	
77e486b5, b4201f23, ec8eeffd, ec8eeffd, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
f3be076c, 124bc6f3, c6974391, c6974391, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
b3cc4f57, f10f4c84, 6564bac5, 6564bac5, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
723e5a92, 0abf5d0b, 3d8e4ac2, 3d8e4ac2, 	 0, 		0, 			0, 			1, 		0, 		0, 		0	
9188f218, 7edc4b9a, d0ebb0fc, d0ebb0fc, 	 0, 		1, 			1, 			1, 		0, 		0, 		0	
52b55c50, 020e171a, 15495324, 15495324, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
a8bf8fa3, d53d7dde, 3e8dcb3b, 3e8dcb3a, 	 0, 		1, 			0, 			0, 		0, 		0, 		0	
d644640b, c7495043, 5e1a701f, 5e1a701f, 	 0, 		0, 			1, 			1, 		0, 		0, 		0	
