	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
a0a68191, fb5bd362, 5c8efa54, 5c8efa54, 	 0, 		1, 			0, 			1, 		0, 		0 
7a056b5a, 37b22053, 7239aafb, 7239aafa, 	 0, 		1, 			0, 			0, 		0, 		0 
4f75a195, ead83ab2, facf78a7, facf78a7, 	 0, 		0, 			0, 			1, 		0, 		0 
3a2badbb, 522facc4, 4ceb9f3e, 4ceb9f3e, 	 0, 		1, 			1, 			1, 		0, 		0 
628cfa1a, 8442fb85, a756c014, a756c014, 	 0, 		0, 			1, 			1, 		0, 		0 
db641c55, 8a74119a, 26597ab0, 26597ab0, 	 0, 		0, 			0, 			1, 		0, 		0 
b1af09db, 73240e01, e56057c7, e56057c7, 	 0, 		0, 			0, 			1, 		0, 		0 
a6ffc8cd, a02c004e, 07abdb38, 07abdb38, 	 0, 		1, 			1, 			1, 		0, 		0 
d2fe05ab, d5130058, 6891dd99, 6891dd98, 	 0, 		1, 			0, 			0, 		0, 		0 
ae937fdb, ecec9df0, 5c0854de, 5c0854de, 	 0, 		1, 			0, 			1, 		0, 		0 
bf0fd151, 0b049097, 8a94f251, 8a94f251, 	 0, 		1, 			1, 			1, 		0, 		0 
90f46d80, 5477db7d, a5eca738, a5eca738, 	 0, 		1, 			0, 			1, 		0, 		0 
4ac3c24a, 11554993, 1ca318ea, 1ca318ea, 	 0, 		0, 			1, 			1, 		0, 		0 
6e0dbef2, 46d79012, 756eb645, 756eb645, 	 0, 		0, 			1, 			1, 		0, 		0 
2f1b7d4d, 66eed2d2, 56910e8a, 56910e8a, 	 0, 		1, 			1, 			1, 		0, 		0 
83616385, b9a6a55b, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
c7dff482, 975bb60c, 1fc0356e, 1fc0356e, 	 0, 		1, 			0, 			1, 		0, 		0 
13941d7c, 6b755cf5, 3f8df600, 3f8df600, 	 0, 		0, 			0, 			1, 		0, 		0 
b13d289a, 0335cf2e, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
75327c2d, 085aae16, 3e18771e, 3e18771e, 	 0, 		0, 			0, 			1, 		0, 		0 
e6822fc7, 831951cd, 2a1bf04f, 2a1bf04e, 	 0, 		1, 			0, 			0, 		0, 		0 
f3d8d116, 5b3bd5cf, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
70172f9c, ce22d440, fec052f4, fec052f4, 	 0, 		1, 			1, 			1, 		0, 		0 
9800dd81, 415a8dea, 99dc081f, 99dc081f, 	 0, 		0, 			1, 			1, 		0, 		0 
a65b43bb, 045b3ad8, 80000000, 80000000, 	 0, 		0, 			0, 			1, 		0, 		1 
6b47888c, 0c4208de, 38173c63, 38173c63, 	 0, 		0, 			1, 			1, 		0, 		0 
f94448ac, f1566404, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
93755c5b, b85f4569, 0c55fdfa, 0c55fdfa, 	 0, 		1, 			1, 			1, 		0, 		0 
6679b0fa, 5d23d5aa, 7f800000, 7f800000, 	 0, 		0, 			0, 			1, 		1, 		0 
d5255a14, 3917b81b, cec3fe18, cec3fe18, 	 0, 		1, 			1, 			1, 		0, 		0 
5c1685fc, e89bc34b, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
7cec6483, dcd89e6e, ff800000, ff800000, 	 0, 		0, 			0, 			1, 		1, 		0 
91f9a79d, 33f0451f, 866a508c, 866a508c, 	 0, 		1, 			0, 			1, 		0, 		0 
249ce597, 468d2253, 2bacfefb, 2bacfefb, 	 0, 		0, 			0, 			1, 		0, 		0 
c74b98dc, 02c6db68, 8a9e26b9, 8a9e26b9, 	 0, 		1, 			1, 			1, 		0, 		0 
