	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
48ef126e, 0c3fd886, 15b328f4, 15b328f4, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
dc71dc32, 2600150f, c2f203fd, c2f203fd, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
ff886697, 7ff4d356, 7fc00000, 7fc00000, 	 2, 		0, 			0, 			1, 		1, 		0, 		1	
72c8216d, ef5c2087, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
1a7f1262, 3aed4918, 15ec6cd8, 15ec6cd8, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
c4487b14, 53f28350, d8bdeb2f, d8bdeb2f, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
4ff851e1, 27695884, 37e25861, 37e25861, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
695c992b, 62d29cc2, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
53d25496, b5850757, c9da97f4, c9da97f4, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
05e48ce7, bcdcd644, 83452862, 83452862, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
b60dd2b1, eb7f6753, 620d7e1c, 620d7e1c, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
041d429e, 88ed83ed, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
7a6f265e, b7589705, f24a5574, f24a5574, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
bb860029, 24b9bd5c, a0c27278, a0c27278, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
04412a25, ad46baa1, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
84310284, 8d15ebe1, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
9c61fc18, 5f3205e0, bc1d2679, bc1d2679, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
4fa40f9d, 08e153e5, 1910677c, 1910677c, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
f8f5872b, 6e98df81, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
66de10f3, 0af7d885, 3256fe2c, 3256fe2c, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
c4dbd394, 0e0b9065, 936fafbf, 936fafbf, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
2eba44e9, 5bf6ecf2, 4b33aa9f, 4b33aa9f, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
e0c8065b, efa2cf00, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
1ecb2848, bef2bf11, 9e40a3b5, 9e40a3b5, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
eca3e68f, 1609cb6f, c3307143, c3307143, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
ee4ff71b, 15a973cc, c489a833, c489a833, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
9fc282b9, a9cf2e9e, 0a1d6b1f, 0a1d6b1f, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
35c57269, eb7727e0, e1bea025, e1bea025, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
bc95bdcb, c2f187b7, 400d470e, 400d470e, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
3c04de16, 2488e095, 210e1516, 210e1516, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
8d287101, 6b15a7f4, b8c4f090, b8c4f090, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
8c198501, 39680605, 860b2426, 860b2426, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
d6fbbe02, 4497c87e, dc15423c, dc15423c, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
cc6d73c5, df931b45, 6c8872c5, 6c8872c5, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
15144897, 4761f799, 1d02e337, 1d02e337, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
2f07741a, 23aec861, 1338f5df, 1338f5df, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
48b13f18, dc5b9952, e5980b22, e5980b22, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
f7f3dca4, 108bbd7c, c9051d4e, c9051d4e, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
911088ee, 26a91e85, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
