	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
3b202421, 9d7d77aa, 991e8e90, 991e8e90, 	 2, 		1, 			1, 			1, 		0, 		0 
76111b7c, 847d1f08, bb0f79c1, bb0f79c1, 	 2, 		0, 			1, 			1, 		0, 		0 
9593b146, e2af7b7b, 38ca7ad7, 38ca7ad7, 	 2, 		1, 			1, 			1, 		0, 		0 
07e7a8ee, 2321e3b0, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
89b8f0b9, e39ceedf, 2de2be83, 2de2be83, 	 2, 		0, 			1, 			1, 		0, 		0 
285e2f82, c7510bbb, b0356ef8, b0356ef8, 	 2, 		0, 			1, 			1, 		0, 		0 
6cc67a85, a45cc3ee, d1ab2933, d1ab2933, 	 2, 		0, 			1, 			1, 		0, 		0 
72bb18aa, 22460376, 5590b79b, 5590b79b, 	 2, 		0, 			0, 			1, 		0, 		0 
0d7efa0e, 4d9071bd, 1b8fddf0, 1b8fddf0, 	 2, 		0, 			1, 			1, 		0, 		0 
fa15cd21, b62d3e79, 70cac05b, 70cac05b, 	 2, 		1, 			0, 			1, 		0, 		0 
c70b3b24, b886ed4c, 4012c407, 4012c407, 	 2, 		1, 			1, 			1, 		0, 		0 
f8c4c39e, 89f94836, 433f99c5, 433f99c5, 	 2, 		0, 			1, 			1, 		0, 		0 
cdad415c, 1b4e17db, a98b7abe, a98b7abe, 	 2, 		0, 			0, 			1, 		0, 		0 
b038f794, 08397e23, 80000000, 80000001, 	 2, 		0, 			0, 			0, 		0, 		1 
e1b8c247, 4d3cc7f1, ef883efa, ef883efa, 	 2, 		0, 			0, 			1, 		0, 		0 
5cb2590e, 01836bab, 1eb71d29, 1eb71d29, 	 2, 		0, 			0, 			1, 		0, 		0 
1a2cfdce, 7de1b138, 589882d3, 589882d3, 	 2, 		0, 			1, 			1, 		0, 		0 
04aa7a9e, 533a12b9, 1877d31d, 1877d31d, 	 2, 		0, 			1, 			1, 		0, 		0 
7d856287, a3243d19, e12b25e8, e12b25e8, 	 2, 		1, 			1, 			1, 		0, 		0 
485ac02c, 7c8f4bc4, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
c44aee13, 70fdc652, f5c92a7e, f5c92a7e, 	 2, 		1, 			1, 			1, 		0, 		0 
9af1cd64, 41ad14c4, 9d237b6a, 9d237b6a, 	 2, 		1, 			1, 			1, 		0, 		0 
5f15465c, f1b5f90b, ff800000, ff800001, 	 2, 		0, 			0, 			0, 		1, 		0 
c223feb8, 902466f5, 12d2a244, 12d2a244, 	 2, 		1, 			1, 			1, 		0, 		0 
83662b22, e99257f0, 2d8393a9, 2d8393a9, 	 2, 		1, 			1, 			1, 		0, 		0 
857d1806, 6d59e780, b3576e3d, b3576e3d, 	 2, 		0, 			1, 			1, 		0, 		0 
bac26fad, 1cefe5cf, 983634ce, 983634ce, 	 2, 		1, 			1, 			1, 		0, 		0 
95e9564c, e91b18de, 3f8d5dea, 3f8d5dea, 	 2, 		0, 			1, 			1, 		0, 		0 
482d7aaf, 00b45c31, 09747178, 09747178, 	 2, 		1, 			1, 			1, 		0, 		0 
931e09d7, f1d4472d, 45830c16, 45830c16, 	 2, 		1, 			0, 			1, 		0, 		0 
b5276733, 263f9a72, 9bfa95fc, 9bfa95fc, 	 2, 		0, 			1, 			1, 		0, 		0 
d30c4f81, e78a45da, 7b179248, 7b179248, 	 2, 		1, 			1, 			1, 		0, 		0 
d9a5fb3f, 81991b1d, 1bc68979, 1bc68979, 	 2, 		1, 			1, 			1, 		0, 		0 
e5a1813a, 568b5cd9, fcafd77c, fcafd77c, 	 2, 		1, 			1, 			1, 		0, 		0 
ba8a74ac, bec4f8d2, 39d50fcc, 39d50fcc, 	 2, 		1, 			0, 			1, 		0, 		0 
c432d4bd, 072d9d1e, 8bf28f0b, 8bf28f0b, 	 2, 		0, 			1, 			1, 		0, 		0 
df228fc3, 4728f03c, e6d68dca, e6d68dca, 	 2, 		1, 			1, 			1, 		0, 		0 
b1e4744b, 3002b1f7, a26943be, a26943be, 	 2, 		1, 			1, 			1, 		0, 		0 
2c4a8035, 7e224586, 6b005c20, 6b005c20, 	 2, 		0, 			0, 			1, 		0, 		0 
fc8c5b5c, c9bd18b6, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
