	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
6e1955d1, c48c1d1f, f327d8c0, f327d8c0, 	 2, 		0, 			1, 			1, 		0, 		0 
29a30dfc, 6c680673, 5693c8c7, 5693c8c7, 	 2, 		1, 			1, 			1, 		0, 		0 
c0872f3c, a49fd6c1, 25a8cf7b, 25a8cf7b, 	 2, 		0, 			1, 			1, 		0, 		0 
10eedd02, 9814e035, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1 
224106bc, e4cbca10, c799a8b3, c799a8b3, 	 2, 		0, 			1, 			1, 		0, 		0 
3d38f9a8, e579cdf5, e3347fa6, e3347fa6, 	 2, 		0, 			1, 			1, 		0, 		0 
d6673770, 04cc9d03, 9bb8cdfd, 9bb8cdfd, 	 2, 		1, 			1, 			1, 		0, 		0 
dafd8bac, 1a6ed19f, b5ec8777, b5ec8777, 	 2, 		0, 			1, 			1, 		0, 		0 
29c2afb9, 34fea5c3, 1f41a869, 1f41a869, 	 2, 		0, 			0, 			1, 		0, 		0 
ee1bccce, ecf33ffc, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
93c01111, b3978d43, 07e36819, 07e36819, 	 2, 		0, 			1, 			1, 		0, 		0 
a6e21fc8, ba94504e, 2203014e, 2203014e, 	 2, 		0, 			1, 			1, 		0, 		0 
c2b2f8c5, 8adb3ee3, 0e1946c7, 0e1946c7, 	 2, 		0, 			1, 			1, 		0, 		0 
e5f2f50c, c1b31dda, 6829fdac, 6829fdac, 	 2, 		0, 			0, 			1, 		0, 		0 
ffde9afd, 7f800000, 7fc00000, 7fc00000, 	 2, 		0, 			0, 			0, 		1, 		0 
e902d3b1, fa6e91b1, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
2a152df2, 6d9f4645, 5839a0f8, 5839a0f8, 	 2, 		0, 			1, 			1, 		0, 		0 
451b2c68, ab419d50, b0eab7ab, b0eab7ab, 	 2, 		0, 			1, 			1, 		0, 		0 
08a1aebc, ba6c2c59, 83952918, 83952918, 	 2, 		1, 			0, 			1, 		0, 		0 
421d8225, 47b1d525, 4a5ad43f, 4a5ad43f, 	 2, 		0, 			1, 			1, 		0, 		0 
1ce7afcf, 5f543541, 3cc00dc9, 3cc00dc9, 	 2, 		1, 			1, 			1, 		0, 		0 
bdb6ccf2, 00000000, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1 
8a566293, 9a67822c, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
5ec0d010, 87e0d36a, a729554a, a729554a, 	 2, 		0, 			1, 			1, 		0, 		0 
633618ed, 71bb132a, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
6dbc0693, 0fb7b0bf, 3e06ea83, 3e06ea83, 	 2, 		1, 			1, 			1, 		0, 		0 
d382742f, d91db58b, 6d20bb87, 6d20bb87, 	 2, 		1, 			0, 			1, 		0, 		0 
3259e333, e622dd46, d90a9e1b, d90a9e1b, 	 2, 		1, 			1, 			1, 		0, 		0 
2ac63e8b, dd7f109d, c8c5852a, c8c5852a, 	 2, 		1, 			1, 			1, 		0, 		0 
6a5ed3d6, b500c5ad, dfe02bf6, dfe02bf6, 	 2, 		0, 			1, 			1, 		0, 		0 
5d7c238b, b4e6cae3, d2e34fc3, d2e34fc3, 	 2, 		1, 			0, 			1, 		0, 		0 
9a77380f, 49ba5b01, a4b3f69d, a4b3f69d, 	 2, 		1, 			1, 			1, 		0, 		0 
bb52fd58, 13ce5ff5, 8faa16f3, 8faa16f3, 	 2, 		1, 			1, 			1, 		0, 		0 
ffe25077, 70247c9c, 7fc00000, 7fc00000, 	 2, 		0, 			0, 			0, 		1, 		0 
ae782262, 9db52774, 0caf968c, 0caf968c, 	 2, 		1, 			1, 			1, 		0, 		0 
0ca3abdd, ab7e6595, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1 
6da3c883, 197feb5c, 47a3bb4e, 47a3bb4e, 	 2, 		0, 			1, 			1, 		0, 		0 
30e2c3a1, cac72750, bc3068e5, bc3068e5, 	 2, 		1, 			1, 			1, 		0, 		0 
f7586252, 0134ee4d, b918ee8f, b918ee8f, 	 2, 		0, 			1, 			1, 		0, 		0 
a3fe5b10, 630e2311, c78d395b, c78d395b, 	 2, 		0, 			1, 			1, 		0, 		0 
7fa1f024, 009489bc, 7fc00000, 7fc00000, 	 2, 		0, 			0, 			1, 		0, 		0 
91ba61f8, 65a5aef4, b7f1410b, b7f1410b, 	 2, 		0, 			1, 			1, 		0, 		0 
7d0fd920, cced560e, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0 
a86a7919, 50f2895d, b9de244a, b9de244a, 	 2, 		1, 			0, 			1, 		0, 		0 
395019e9, 8456b84c, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1 
8a782b7c, 83e09ff1, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
80000000, ffeec29e, 7fc00000, 00000000, 	 2, 		0, 			0, 			0, 		0, 		0 
660e5983, 5d3bb1d7, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
af974140, b18e03ce, 21a7d0e1, 21a7d0e1, 	 2, 		1, 			1, 			1, 		0, 		0 
2af7dd55, 05d91aaf, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
dc16e1f8, c130758b, 5dd00143, 5dd00143, 	 2, 		0, 			1, 			1, 		0, 		0 
a300e171, 87b84551, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
22c64c43, bf472cf3, a29a481a, a29a481a, 	 2, 		0, 			1, 			1, 		0, 		0 
b1c30a42, d59d389c, 47ef90d7, 47ef90d7, 	 2, 		0, 			1, 			1, 		0, 		0 
9bccc630, a1426f89, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
ba696fd2, 601f43c4, db113a3f, db113a3f, 	 2, 		0, 			1, 			1, 		0, 		0 
eb6f03f2, 4fe5560b, fbd61ede, fbd61ede, 	 2, 		0, 			0, 			1, 		0, 		0 
43637454, d001d984, d3e6bdc3, d3e6bdc3, 	 2, 		0, 			1, 			1, 		0, 		0 
0dfbf703, 68481492, 36c4ed39, 36c4ed39, 	 2, 		0, 			1, 			1, 		0, 		0 
b59dd303, 56482b01, cc76cebb, cc76cebb, 	 2, 		1, 			1, 			1, 		0, 		0 
7f800000, 2e9074f1, 7f800000, 7f800000, 	 2, 		0, 			0, 			0, 		0, 		0 
9ad7a622, e2ee307c, 3e48a54b, 3e48a54b, 	 2, 		0, 			1, 			1, 		0, 		0 
346fb92f, 7d3b0b21, 722f26b1, 722f26b1, 	 2, 		0, 			1, 			1, 		0, 		0 
14f4a25d, 68609bb2, 3dd6a2d9, 3dd6a2d9, 	 2, 		1, 			1, 			1, 		0, 		0 
597911fb, e5fa86a3, ff800000, ff800000, 	 2, 		0, 			0, 			1, 		1, 		0 
e421c843, bbfe66c4, 60a0c5a4, 60a0c5a4, 	 2, 		0, 			1, 			1, 		0, 		0 
284fbddd, 3b339678, 2411bbdc, 2411bbdc, 	 2, 		0, 			1, 			1, 		0, 		0 
db5db578, af9f13b6, 4b89c4c7, 4b89c4c7, 	 2, 		1, 			0, 			1, 		0, 		0 
f5d017de, 3cc36a5e, f31ed8a5, f31ed8a5, 	 2, 		0, 			1, 			1, 		0, 		0 
055d3c82, 1a19a0d5, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1 
76a954a1, 7e90eae6, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0 
