	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
08703ab1, 44be6760, 0db2ac91, 0db2ac91, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
4140e24c, cd21f793, cef411b6, cef411b6, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
801f1312, 840e473f, 00000000, 00000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
393233c1, 498c4d74, 4343546f, 4343546f, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
b7b598cc, 53e3f103, cc21b174, cc21b174, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
35226208, d03a72c4, c5ec880c, c5ec880c, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
29656a69, b8c6764b, a2b1da50, a2b1da50, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
47e448c5, d54aba14, ddb4c75b, ddb4c75b, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
e8d1fa82, b8e2994b, 6239dce3, 6239dce3, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
338a781c, 13956a86, 07a1a30d, 07a1a30d, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
da3cc40c, 294e2d6b, c4180740, c4180740, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
42c2489b, 9c910816, 9fdc2286, 9fdc2286, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
555d1484, 63563ec7, 7939055d, 7939055d, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
4561984d, d0798d40, d65be99d, d65be99d, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
0223cbfa, 94a66b9a, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
654b0ca1, a52cbdf1, cb090324, cb090324, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
28279e04, 94d63931, 80000000, 80000000, 	 2, 		0, 			0, 			1, 		0, 		1, 		0	
5e1d7a15, 5439e406, 72e4b2fb, 72e4b2fb, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
ff56c61e, d48637ed, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
de3fc873, 08d0afbf, a79c5687, a79c5687, 	 2, 		1, 			0, 			1, 		0, 		0, 		0	
0701e912, c9a1f019, 91245ad8, 91245ad8, 	 2, 		0, 			0, 			1, 		0, 		0, 		0	
3b6d0522, 249281a3, 2087a4f3, 2087a4f3, 	 2, 		1, 			1, 			1, 		0, 		0, 		0	
63e744f5, 659ee9bd, 7f800000, 7f800000, 	 2, 		0, 			0, 			1, 		1, 		0, 		0	
e2aa76b8, 928d176a, 35bbe5f5, 35bbe5f5, 	 2, 		0, 			1, 			1, 		0, 		0, 		0	
