	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
7a981ac5, b7c94287, f2ef2917, f2ef2917, 	 3, 		1, 			0, 			1, 		0, 		0 
eb0645a6, f2bbad22, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
c12577bc, 896287ff, 0b126b9b, 0b126b9b, 	 3, 		1, 			1, 			1, 		0, 		0 
00000000, 7f800000, 7fc00000, 00000000, 	 3, 		0, 			0, 			0, 		0, 		0 
f67784f0, d0ebb2d2, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
859c84f2, 29ef50bd, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
00000000, 7ff7d572, 7fc00000, 00000000, 	 3, 		0, 			0, 			0, 		0, 		0 
ff800000, 7f800000, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
d376efc2, b3797330, 47709e50, 47709e50, 	 3, 		1, 			1, 			1, 		0, 		0 
c2f9c2bf, 2153edbf, a4cec377, a4cec377, 	 3, 		0, 			0, 			1, 		0, 		0 
dc4baded, 4c4b4f01, e921c1c6, e921c1c6, 	 3, 		0, 			1, 			1, 		0, 		0 
ca1f9cb7, 9f6d663e, 2a1403d5, 2a1403d5, 	 3, 		1, 			0, 			1, 		0, 		0 
ff800000, 80000000, 7fc00000, 00000000, 	 3, 		0, 			0, 			0, 		0, 		0 
80000000, 7f800000, 7fc00000, 80000000, 	 3, 		0, 			0, 			0, 		0, 		0 
6711e1c1, 95172864, bcac465a, bcac465a, 	 3, 		0, 			1, 			1, 		0, 		0 
41410236, 708d5514, 72551cba, 72551cba, 	 3, 		0, 			0, 			1, 		0, 		0 
110d2849, 7db9d24b, 4f4cec23, 4f4cec23, 	 3, 		0, 			1, 			1, 		0, 		0 
4bb3d897, 4f7a22b0, 5bafb9e2, 5bafb9e2, 	 3, 		1, 			1, 			1, 		0, 		0 
9ff11141, a645b3c7, 06ba2b92, 06ba2b92, 	 3, 		0, 			1, 			1, 		0, 		0 
ff800000, 1297fea6, ff800000, ff800000, 	 3, 		0, 			0, 			0, 		0, 		0 
aad763ca, 6e46943a, d9a713e4, d9a713e4, 	 3, 		1, 			1, 			1, 		0, 		0 
3471838e, e4302b12, d9263313, d9263313, 	 3, 		1, 			1, 			1, 		0, 		0 
06d152c7, b17088df, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
2f5f3010, 324cf010, 2232ab98, 2232ab98, 	 3, 		1, 			1, 			1, 		0, 		0 
04d98990, 0440dc0f, 00000000, 00000000, 	 3, 		0, 			0, 			1, 		0, 		1 
ee2cb007, 0b6ffd35, ba21e324, ba21e324, 	 3, 		0, 			1, 			1, 		0, 		0 
df57fdb2, d18b8a39, 716b76bd, 716b76bd, 	 3, 		1, 			1, 			1, 		0, 		0 
d5515a1a, 610308b0, f6d6506c, f6d6506c, 	 3, 		0, 			0, 			1, 		0, 		0 
8d15ba41, e8ef59a5, 368bfd51, 368bfd51, 	 3, 		1, 			1, 			1, 		0, 		0 
ede739ab, f4d6d444, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0 
6ba713a8, 31d881e6, 5e0d4d5d, 5e0d4d5d, 	 3, 		1, 			1, 			1, 		0, 		0 
bddcc96d, 1d49e76b, 9bae21bc, 9bae21bc, 	 3, 		1, 			0, 			1, 		0, 		0 
c34c28a0, 5b59ac73, df2d97f6, df2d97f6, 	 3, 		1, 			1, 			1, 		0, 		0 
14824705, 65a514dd, 3aa804c9, 3aa804c9, 	 3, 		0, 			1, 			1, 		0, 		0 
32f7bc1a, 96971f0a, 8a123dfc, 8a123dfc, 	 3, 		1, 			1, 			1, 		0, 		0 
1752e2ac, e479f216, bc4de5e5, bc4de5e5, 	 3, 		1, 			1, 			1, 		0, 		0 
8c4e3a78, 173191c3, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
3db89741, e7950e78, e5d6f4ef, e5d6f4ef, 	 3, 		0, 			1, 			1, 		0, 		0 
f7cfbec1, b0ac245d, 690bb1ac, 690bb1ac, 	 3, 		1, 			1, 			1, 		0, 		0 
1f80bdee, e58f1cc5, c58ff11f, c58ff11f, 	 3, 		1, 			0, 			1, 		0, 		0 
902f1c6a, 76f9b986, c7aad18a, c7aad18a, 	 3, 		0, 			1, 			1, 		0, 		0 
50f986b4, e42c7bd7, f5a81f36, f5a81f36, 	 3, 		0, 			1, 			1, 		0, 		0 
2b239081, 4614ba78, 31be0d5d, 31be0d5d, 	 3, 		0, 			1, 			1, 		0, 		0 
6680bd5c, 041a45b2, 2b1b29ec, 2b1b29ec, 	 3, 		1, 			1, 			1, 		0, 		0 
b53116fd, 145db431, 8a195d7e, 8a195d7e, 	 3, 		0, 			1, 			1, 		0, 		0 
36693489, f2b6b418, e9a66f68, e9a66f68, 	 3, 		0, 			1, 			1, 		0, 		0 
e2b40b53, 08051fef, ab3b40af, ab3b40af, 	 3, 		0, 			1, 			1, 		0, 		0 
214d4aee, 7b9f0054, 5d7f039b, 5d7f039b, 	 3, 		0, 			1, 			1, 		0, 		0 
