	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
065c697b, a14830d1, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1, 		0	
ec7214cd, d3f951e6, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0, 		0	
1de033ad, 0a6d560a, 00000000, 00000000, 	 3, 		0, 			0, 			1, 		0, 		1, 		0	
ff800000, 63ddcd27, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0, 		0	
d1bcc27c, 7f762d2e, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0, 		0	
ea7fb560, 52878ec8, fd876744, fd876744, 	 3, 		0, 			0, 			1, 		0, 		0, 		0	
17798f5e, bc1fdda4, 941bd81c, 941bd81c, 	 3, 		0, 			0, 			1, 		0, 		0, 		0	
0bd15717, d08b1226, 9ce37241, 9ce37241, 	 3, 		0, 			1, 			1, 		0, 		0, 		0	
33b173ee, 13efc4e8, 082633b9, 082633b9, 	 3, 		1, 			1, 			1, 		0, 		0, 		0	
f5de628f, e624e7ee, 7f800000, 7f800000, 	 3, 		0, 			0, 			1, 		1, 		0, 		0	
74b35391, a621392f, db61df39, db61df39, 	 3, 		0, 			1, 			1, 		0, 		0, 		0	
b48dd087, b18ad9b7, 2699d608, 2699d608, 	 3, 		1, 			1, 			1, 		0, 		0, 		0	
fa809910, 800d0679, 00000000, 00000000, 	 3, 		0, 			0, 			0, 		0, 		0, 		0	
6909e11b, 9cdeebbd, c6702059, c6702059, 	 3, 		1, 			1, 			1, 		0, 		0, 		0	
e2ea0ab9, 2dd8e1c8, d1464776, d1464776, 	 3, 		0, 			1, 			1, 		0, 		0, 		0	
712ae651, e25c488f, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0, 		0	
a78089b7, d0c6526a, 38c727ca, 38c727ca, 	 3, 		1, 			1, 			1, 		0, 		0, 		0	
5747b17a, bcaf4966, d488bb93, d488bb93, 	 3, 		1, 			0, 			1, 		0, 		0, 		0	
