	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
09a6f301, 964cbd11, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
7e437352, 7d699729, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
b592d9b0, ffa990fb, 7fc00000, 75c289c0, 	 3, 		0, 			1, 			0, 		0, 		0 
c5fde242, caa9e8ff, 51288170, 51288170, 	 3, 		1, 			0, 			1, 		0, 		0 
c4ee11e4, 4b1d567e, d0925168, d0925168, 	 3, 		0, 			0, 			1, 		0, 		0 
41cffed1, fb0b567e, fd626b42, fd626b42, 	 3, 		1, 			1, 			1, 		0, 		0 
6a25f23e, ed679b01, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
de456662, dd91c282, 7c60c9f3, 7c60c9f3, 	 3, 		1, 			1, 			1, 		0, 		0 
187b1ea5, a7be7975, 80bad7e2, 80bad7e2, 	 3, 		1, 			1, 			1, 		0, 		0 
df5c579d, 47746bfc, e7526073, e7526073, 	 3, 		0, 			1, 			1, 		0, 		0 
b897bcea, 004efdd9, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
87d8382f, 936a59a3, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
d3a53255, e7523bee, 7b87a9f6, 7b87a9f6, 	 3, 		1, 			1, 			1, 		0, 		0 
45fefe37, 69465103, 6fc58950, 6fc58950, 	 3, 		1, 			1, 			1, 		0, 		0 
4bb824f2, 3369d178, 3fa8304d, 3fa8304d, 	 3, 		1, 			1, 			1, 		0, 		0 
a7adce8d, 1df7c409, 86283762, 86283762, 	 3, 		0, 			1, 			1, 		0, 		0 
b7a15155, 7ad7bfc4, f307f425, f307f425, 	 3, 		1, 			0, 			1, 		0, 		0 
b23cf985, e66eef49, 5930609d, 5930609d, 	 3, 		0, 			1, 			1, 		0, 		0 
f300ff55, da3c5e4d, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
627c23fb, 42dc6783, 65d914e0, 65d914e0, 	 3, 		0, 			1, 			1, 		0, 		0 
2dba9792, adf9751e, 9c35d2ca, 9c35d2ca, 	 3, 		0, 			1, 			1, 		0, 		0 
60ca67fa, 7a9c2341, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
9f7f9283, c8c904ff, 28c8af06, 28c8af06, 	 3, 		1, 			1, 			1, 		0, 		0 
7e9cb083, 3cc41fc6, 7bf0152e, 7bf0152e, 	 3, 		1, 			1, 			1, 		0, 		0 
1e40b27d, bc08c93c, 9acdec97, 9acdec97, 	 3, 		0, 			1, 			1, 		0, 		0 
e6863a60, 36079bc3, dd0e34e8, dd0e34e8, 	 3, 		0, 			1, 			1, 		0, 		0 
38909371, 95637cbe, 8e80792f, 8e80792f, 	 3, 		1, 			1, 			1, 		0, 		0 
0bfd39c5, 0ce9448d, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
66e8faf0, 3e001c9c, 65692f03, 65692f03, 	 3, 		1, 			1, 			1, 		0, 		0 
e56c1a00, 4526c1a9, eb19cb77, eb19cb77, 	 3, 		0, 			1, 			1, 		0, 		0 
0e624154, 66180eb4, 350663c9, 350663c9, 	 3, 		1, 			0, 			1, 		0, 		0 
76620114, a8d88412, dfbf2581, dfbf2581, 	 3, 		0, 			1, 			1, 		0, 		0 
3fdd1820, 33b067de, 34185a4b, 34185a4b, 	 3, 		0, 			1, 			1, 		0, 		0 
8dcf68df, 1870b93c, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
7c6e1a35, 38df3240, 75cf9791, 75cf9791, 	 3, 		1, 			1, 			1, 		0, 		0 
03eb2c7e, d642669a, 9ab295f8, 9ab295f8, 	 3, 		1, 			1, 			1, 		0, 		0 
d789b4eb, 6fd597a9, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
64f21964, d3f2ea52, f965b999, f965b999, 	 3, 		0, 			1, 			1, 		0, 		0 
6f082fd4, e4e89c18, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
9f6196ee, e725c2bb, 471211e1, 471211e1, 	 3, 		1, 			0, 			1, 		0, 		0 
fb6a5d0c, 6a7316fc, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
14363ebb, 1f45c5ea, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
069c1311, e224536a, a9485e23, a9485e23, 	 3, 		0, 			1, 			1, 		0, 		0 
6b5bd863, a4e965e1, d0c86f6f, d0c86f6f, 	 3, 		1, 			1, 			1, 		0, 		0 
86698fef, 53dc9375, 9ac93e39, 9ac93e39, 	 3, 		1, 			1, 			1, 		0, 		0 
c7b31b3b, ae819249, 36b54e23, 36b54e23, 	 3, 		1, 			1, 			1, 		0, 		0 
c7a26b0d, 9dda32d3, 260a6f68, 260a6f68, 	 3, 		1, 			1, 			1, 		0, 		0 
0d0f0887, 46040860, 13938a28, 13938a28, 	 3, 		0, 			0, 			1, 		0, 		0 
848bf264, 99829095, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
505501e4, 94144d7f, a4f6cb26, a4f6cb26, 	 3, 		0, 			0, 			1, 		0, 		0 
2df68c4b, 7d5079c7, 6bc8c745, 6bc8c745, 	 3, 		1, 			1, 			1, 		0, 		0 
3797a6a8, 141b379e, 0c37e5b5, 0c37e5b5, 	 3, 		0, 			1, 			1, 		0, 		0 
dd082a83, f1c78f0c, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
419f099f, 317131bd, 3395d6f5, 3395d6f5, 	 3, 		1, 			1, 			1, 		0, 		0 
4dacadd3, 558670f7, 63b55e5f, 63b55e5f, 	 3, 		0, 			1, 			1, 		0, 		0 
af198d43, 7615d184, e5b3b9c6, e5b3b9c6, 	 3, 		1, 			1, 			1, 		0, 		0 
1a863fc7, 6482f11b, 3f8955a7, 3f8955a7, 	 3, 		1, 			0, 			1, 		0, 		0 
4ae0d28c, 732c4fa6, 7e975369, 7e975369, 	 3, 		1, 			1, 			1, 		0, 		0 
100ff3ae, 5cb81123, 2d4f0190, 2d4f0190, 	 3, 		1, 			1, 			1, 		0, 		0 
e5c5acda, ef25e005, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
0b8d58ac, b1857b9a, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
821537d2, 4147b59c, 83e8d07f, 83e8d07f, 	 3, 		0, 			1, 			1, 		0, 		0 
9116061e, d3d9ff11, 257f8153, 257f8153, 	 3, 		1, 			1, 			1, 		0, 		0 
50f15450, 9dbd6a19, af328f43, af328f43, 	 3, 		1, 			0, 			1, 		0, 		0 
d094932a, c79e9e88, 58b81dac, 58b81dac, 	 3, 		0, 			1, 			1, 		0, 		0 
83242ea3, 9aa64345, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
b7863d5d, 3baf0138, b3b7892c, b3b7892c, 	 3, 		0, 			1, 			1, 		0, 		0 
7fce495d, 6942868f, 7fc00000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
450aebf4, d7c25a23, dd52ef71, dd52ef71, 	 3, 		1, 			1, 			1, 		0, 		0 
01f7731b, db942e05, 9e0f3b07, 9e0f3b07, 	 3, 		0, 			1, 			1, 		0, 		0 
a73443ba, 0083856f, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
9a7169cc, 995de980, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
34364f28, de0f1dbf, d2cbd6cc, d2cbd6cc, 	 3, 		1, 			1, 			1, 		0, 		0 
6cc4127d, 0139ab7e, 2e8e34b6, 2e8e34b6, 	 3, 		0, 			1, 			1, 		0, 		0 
2b634aa9, 94923bfb, 8081d5d5, 8081d5d5, 	 3, 		0, 			1, 			1, 		0, 		0 
1d92be6e, 2b99fcb2, 09b08953, 09b08953, 	 3, 		0, 			1, 			1, 		0, 		0 
efd809e1, bf33e772, 6f97d23a, 6f97d23a, 	 3, 		0, 			1, 			1, 		0, 		0 
1a15b7dc, b78a768c, 9221f4e2, 9221f4e2, 	 3, 		0, 			1, 			1, 		0, 		0 
44aabddb, 2e1180de, 334216f9, 334216f9, 	 3, 		0, 			0, 			1, 		0, 		0 
b55d9535, ad87797d, 236a85ae, 236a85ae, 	 3, 		0, 			1, 			1, 		0, 		0 
94ddc016, e00ba7f4, 3571f190, 3571f190, 	 3, 		0, 			1, 			1, 		0, 		0 
17c11e76, 96ccfadb, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
6aa01558, 188d4e26, 43b0b940, 43b0b940, 	 3, 		0, 			1, 			1, 		0, 		0 
445cce31, 4c54d076, 51378e8e, 51378e8e, 	 3, 		1, 			1, 			1, 		0, 		0 
2e8b2d62, d46a5fbc, c37ed70f, c37ed70f, 	 3, 		0, 			1, 			1, 		0, 		0 
88929203, 386753a1, 818471a2, 818471a2, 	 3, 		0, 			1, 			1, 		0, 		0 
409c30a9, 48f71d6d, 4a16c4e8, 4a16c4e8, 	 3, 		0, 			0, 			1, 		0, 		0 
d24f7173, a18a7bfc, 34606f40, 34606f40, 	 3, 		0, 			1, 			1, 		0, 		0 
067abd62, 4d5ce351, 14585966, 14585966, 	 3, 		0, 			1, 			1, 		0, 		0 
c95f523b, a5638df2, 2f4681be, 2f4681be, 	 3, 		1, 			1, 			1, 		0, 		0 
9fa315b0, df30db5e, 3f615551, 3f615551, 	 3, 		1, 			1, 			1, 		0, 		0 
4b6030ae, 701512d2, 7c028cd1, 7c028cd1, 	 3, 		1, 			0, 			1, 		0, 		0 
94c86760, 33c5e636, 891aebc4, 891aebc4, 	 3, 		0, 			0, 			1, 		0, 		0 
4c507d13, 9d1ed019, aa0156ab, aa0156ab, 	 3, 		1, 			1, 			1, 		0, 		0 
f01f2d3d, 1b1d2788, cbc36ea5, cbc36ea5, 	 3, 		1, 			1, 			1, 		0, 		0 
a5cdf30b, 3e254b40, a484fa2f, a484fa2f, 	 3, 		1, 			1, 			1, 		0, 		0 
7b46a61f, d24a46ff, ff800000, ff800000, 	 3, 		0, 			0, 			1, 		1, 		0 
b852d9cb, 2ed40e5f, a7aea832, a7aea832, 	 3, 		0, 			1, 			1, 		0, 		0 
7fd6cc8a, 6911e20b, 7fc00000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
a98b7d4d, 17d4fd76, 81e81bbd, 81e81bbd, 	 3, 		1, 			1, 			1, 		0, 		0 
04f007a5, c0274daa, 859cddce, 859cddce, 	 3, 		0, 			1, 			1, 		0, 		0 
ddd9c907, d313313a, 717a70a0, 717a70a0, 	 3, 		1, 			1, 			1, 		0, 		0 
cfcfe3d4, 4ab998d6, db16b7c1, db16b7c1, 	 3, 		0, 			1, 			1, 		0, 		0 
0b115f63, c5581940, 90f56da4, 90f56da4, 	 3, 		0, 			1, 			1, 		0, 		0 
d137603b, a9c971f8, 3b904c32, 3b904c32, 	 3, 		0, 			1, 			1, 		0, 		0 
517ffb1f, 77b389ba, 7f800000, 7f800001, 	 3, 		0, 			0, 			0, 		1, 		0 
4d08a4e9, 265084fb, 33de99f1, 33de99f1, 	 3, 		1, 			1, 			1, 		0, 		0 
acafd176, 3bcd9a58, a90d34bb, a90d34bb, 	 3, 		1, 			1, 			1, 		0, 		0 
06a943e1, b29f3f7b, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
3a2795f7, 9a6310e0, 9514a506, 9514a506, 	 3, 		0, 			0, 			1, 		0, 		0 
04087cb8, 71d32852, 36612896, 36612896, 	 3, 		1, 			1, 			1, 		0, 		0 
b05f3f77, eb6bf53d, 5c4dc520, 5c4dc520, 	 3, 		0, 			1, 			1, 		0, 		0 
17c587a5, 339f368c, 0bf5b2ad, 0bf5b2ad, 	 3, 		0, 			1, 			1, 		0, 		0 
da1a1288, ac749575, 4713339d, 4713339d, 	 3, 		1, 			1, 			1, 		0, 		0 
a3e41c3b, efc822d1, 54325515, 54325515, 	 3, 		0, 			0, 			1, 		0, 		0 
f72d02bf, 89becf7c, 4180f443, 4180f443, 	 3, 		1, 			1, 			1, 		0, 		0 
3d61daae, bc1405f5, ba0297ae, ba0297ae, 	 3, 		0, 			0, 			1, 		0, 		0 
d1c697ca, 5ba16bb3, edfa7204, edfa7204, 	 3, 		1, 			1, 			1, 		0, 		0 
b8041ff0, 16bbe6fe, 8f41f518, 8f41f518, 	 3, 		0, 			1, 			1, 		0, 		0 
05ca3d76, a2f929a8, 80000000, 80000000, 	 3, 		0, 			0, 			1, 		0, 		1 
526c9cfc, 3ff68789, 52e3dc20, 52e3dc20, 	 3, 		1, 			0, 			1, 		0, 		0 
8dc8601b, 81a6aaa0, 00000000, 00000001, 	 3, 		0, 			0, 			0, 		0, 		1 
9296246a, f702f108, 4a1997b6, 4a1997b6, 	 3, 		1, 			0, 			1, 		0, 		0 
