	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
e9165c07, 686d28bc, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
2069efb3, 971900a4, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
fcce826e, 1de00314, db34b49c, db34b49c, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
4589f961, 0556d4b4, 0b679235, 0b679235, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
dc7b09a9, bb911e88, 588e4e69, 588e4e69, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
9da81f37, a4da4626, 030f58a6, 030f58a6, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
9f1cd007, 69cb86c9, c979570b, c979570b, 	 4, 		0, 			0, 			1, 		0, 		0, 		0	
c53a774a, 05d6715c, 8b9c324a, 8b9c324a, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
daaa97fd, 5e6be326, f99d30e3, f99d30e3, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
fbb5464d, e179ff3a, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
f97306dc, a8f1550b, 62e51a31, 62e51a31, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
ade22ae5, 3aae9078, a91a38ca, a91a38ca, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
25dacdcd, 4694f24f, 2cfe9c29, 2cfe9c29, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
51b7a4f6, f616280a, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
bae23f24, bd6da723, 38d2082a, 38d2082a, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
ff839ff6, ff800000, 7fc00000, 7fc00000, 	 4, 		0, 			0, 			1, 		1, 		0, 		1	
7b9db5bf, 20794714, 5c999191, 5c999191, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
88909aa3, 4198e5dd, 8aacbb50, 8aacbb50, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
26674bee, 08944fa0, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
8ecb2b4a, e2c464c6, 321bdd1f, 321bdd1f, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
aa8c1d95, 704a5aaf, db5d81f4, db5d81f4, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
f676e419, c89b119e, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
