	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
6b9009ef, f19fe444, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
40bb5ff4, 8b17e582, 8c5e5b2a, 8c5e5b2a, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
24b502a1, 5bdd8caf, 411ca6be, 411ca6be, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
feb47da4, dd832114, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
1b2bbba9, 5c8caad1, 383cba6e, 383cba6e, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
28b84af0, c15bf42d, aa9e57e3, aa9e57e3, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
d47cce58, 3de181e3, d2deb19f, d2deb19f, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
cf5c550f, ee8e3dd6, 7e74d8ce, 7e74d8ce, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
d961a6c1, 73f17fb1, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
f8c981c7, adb67f05, 670fa63f, 670fa63f, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
d60db672, dbb2daf3, 7246041e, 7246041e, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
c2c2bfcb, bf03fb33, 4248ce7b, 4248ce7b, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
16212726, 36260097, 0cd0ff83, 0cd0ff83, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
13901f20, 17ab0447, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
b2b8fbf5, 07336f30, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
94942b79, 5ae2f6d6, b0035d3e, b0035d3e, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
93fc7074, 31fdf9c9, 867a7172, 867a7172, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
58210c32, 2a27850f, 42d2c553, 42d2c553, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
2794fb29, 7b44d0ed, 636513c3, 636513c3, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
92650b80, 42d52cb4, 95beba91, 95beba91, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
ea453ad8, 8026c653, 00000000, 00000000, 	 4, 		0, 			0, 			0, 		0, 		0, 		0	
30b7296e, ebc986dc, dd103004, dd103004, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
d566cae0, ac95f722, 428732e1, 428732e1, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
80000000, ff800000, 7fc00000, 7fc00000, 	 4, 		0, 			0, 			1, 		0, 		0, 		1	
ea3bd864, f7e55376, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
7af066ac, 909dc9eb, cc142c95, cc142c95, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
26143713, f3c4a5d0, da63b455, da63b455, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
652654d9, 70580639, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
ef732adf, 9962779e, 49571d78, 49571d78, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
b2ad9704, 0b2b75d9, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
74f7fd0b, 6c85bc1e, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
4b38c44b, 454fe1ab, 51160999, 51160999, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
92894c2d, c657e848, 1967971b, 1967971b, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
2f13a645, 6148be32, 50e78f30, 50e78f30, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
144768c5, 940c3ac8, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
690df129, c843b963, f1d90af9, f1d90af9, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
7d1b70c8, 69f8cfcc, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
