	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
85529603, 334a3264, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
d32b0746, 7b668ac8, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
4e9b4ab7, a14afe30, b076464b, b076464b, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
f7996c9d, d32bf360, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
5ba67c92, ff604dbd, ff800000, ff800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
66b876e3, b630e93c, dd7ef397, dd7ef397, 	 4, 		0, 			0, 			1, 		0, 		0, 		0	
78ce0ec2, 6531421c, 7f800000, 7f800000, 	 4, 		0, 			0, 			1, 		1, 		0, 		0	
8c04d51d, fb331ccc, 47b9dfe9, 47b9dfe9, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
a34f6f57, d52b31a1, 390ab796, 390ab796, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
bd49755f, 8aa79c37, 0883e680, 0883e680, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
1af87221, b34cb57e, 8ec6ab15, 8ec6ab15, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
a74a6f2a, 06635090, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
17d4cd56, 7e2fddeb, 569230d6, 569230d6, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
2070d2b3, 6a4e2388, 4b41eaf9, 4b41eaf9, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
271a88b0, 02a57c0d, 00000000, 00000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
46cc1b66, 37fd00f4, 3f49b7d6, 3f49b7d6, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
474e4baa, 340725e2, 3bd9d0db, 3bd9d0db, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
d857f003, 49f1b6df, e2cbe334, e2cbe334, 	 4, 		1, 			0, 			1, 		0, 		0, 		0	
542643fa, 0f6a151a, 241807d7, 241807d7, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
be728fdf, b1336ab5, 3029ffb4, 3029ffb4, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
80000000, 2fe9cf14, 80000000, 80000000, 	 4, 		0, 			0, 			1, 		0, 		1, 		0	
504d6f9f, dab5ed41, eb91fe50, eb91fe50, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
cb7f8bea, 5bf35252, e7f2e3fc, e7f2e3fc, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
252cdf91, 69b3c657, 4f72cc84, 4f72cc84, 	 4, 		0, 			0, 			1, 		0, 		0, 		0	
770912cb, b460ab5b, ebf09864, ebf09864, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
4cfce33d, cdfc6af8, db79595b, db79595b, 	 4, 		0, 			0, 			1, 		0, 		0, 		0	
85777f06, 53c0167e, 99b9b503, 99b9b503, 	 4, 		0, 			1, 			1, 		0, 		0, 		0	
a2e77916, edeb118c, 51548c05, 51548c05, 	 4, 		1, 			1, 			1, 		0, 		0, 		0	
