	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1 
4eee7490, aa3592c8, b9a92122, b9a92122, 	 1, 		1, 			0, 			1, 		0, 		0 
ffc40d2e, bdc0b41b, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0 
27c76fa7, 5e8246ca, 46cafbb1, 46cafbb1, 	 1, 		0, 			1, 			1, 		0, 		0 
85113a73, c03656a0, 05cee164, 05cee164, 	 1, 		0, 			1, 			1, 		0, 		0 
8a37a123, cb557008, 1619196e, 1619196e, 	 1, 		0, 			1, 			1, 		0, 		0 
7f800000, 27aa3858, 7f800000, 7f800000, 	 1, 		0, 			0, 			0, 		0, 		0 
aef6b105, ff800000, 7f800000, 7f800000, 	 1, 		0, 			0, 			0, 		0, 		0 
01e5a98f, e66867d8, a8d07ed2, a8d07ed2, 	 1, 		1, 			0, 			1, 		0, 		0 
ffd4de06, 3563862c, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0 
7a25b52a, 7d8daf67, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
8f15f2ec, a4a569fd, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
2fc84257, 24d1f084, 15243a4e, 15243a4e, 	 1, 		0, 			1, 			1, 		0, 		0 
ff800000, d6427638, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0 
fff5168e, ba2dca7a, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0 
0fa23add, 48736f38, 189a445a, 189a445a, 	 1, 		1, 			1, 			1, 		0, 		0 
8297eed5, 52751b86, 959177e7, 959177e7, 	 1, 		1, 			0, 			1, 		0, 		0 
ba51263a, 9a8461bd, 15584f1f, 15584f1f, 	 1, 		1, 			0, 			1, 		0, 		0 
601d6c46, 4e39e8c4, 6ee4a4c2, 6ee4a4c2, 	 1, 		0, 			1, 			1, 		0, 		0 
75ff55ac, 2ad734ed, 6156a5bd, 6156a5bd, 	 1, 		0, 			1, 			1, 		0, 		0 
19da2f9a, 2c49aae4, 06abe105, 06abe105, 	 1, 		1, 			1, 			1, 		0, 		0 
1c420653, 974c6f76, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
8eeef259, 471f009f, 96946919, 96946919, 	 1, 		1, 			1, 			1, 		0, 		0 
06681ea8, b2553468, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
0a8d2bf8, e27a35ec, ad89faac, ad89faac, 	 1, 		0, 			1, 			1, 		0, 		0 
ba09ce4b, e632d041, 60c08315, 60c08315, 	 1, 		1, 			0, 			1, 		0, 		0 
f016ccc9, 32ebf5bc, e38afebd, e38afebd, 	 1, 		0, 			1, 			1, 		0, 		0 
ff85b458, 8c21d41e, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0 
88a1abf4, af6c00fa, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1 
9f976b0a, c491bd8a, 24ac6778, 24ac6778, 	 1, 		1, 			1, 			1, 		0, 		0 
3999d097, 8024cde5, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1 
