	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
39f8e9b8, a4ea16e5, 9f639be4, 9f639be4, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
2e767140, 16823d58, 057ac120, 057ac120, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
dc90909b, 7c7ef7d9, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
65659a24, 83df9a19, a9c88b7a, a9c88b7a, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
191e046f, 1613f98a, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
eb552dc4, 7871c17d, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
81556687, f060da46, 323b6fa9, 323b6fa9, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
b9707356, 8d4a384e, 073defe4, 073defe4, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
e89d8868, 84b30bfb, 2ddc5b80, 2ddc5b80, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
e0c78eef, 92a6b447, 3401f336, 3401f336, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
217f1a9f, cc3fc30f, ae3f173c, ae3f173c, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
5b953949, a54ec390, c1710c2e, c1710c2e, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
8bf38d05, 04039046, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
603ae674, d455e5fd, f51c29a7, f51c29a7, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
48035318, a810663d, b094265f, b094265f, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
6b0283f4, f497fa17, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
665e85f0, ad023528, d3e25c70, d3e25c70, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
d4c27cb9, 523b7ce5, e78e6ffd, e78e6ffd, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
f64745ed, 559e1d78, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
5a2b297f, c4bd899b, df7d7347, df7d7347, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
50ff1a45, ecb92ad4, fe3884a9, fe3884a9, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
