	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
d2a5388f, cf989ddf, 62c4fef1, 62c4fef1, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
949511f6, 5c81551d, b1969f39, b1969f39, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
762ecde1, 7c48da28, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
cc2f3a8d, a3e1b0b0, 309a7b66, 309a7b66, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
6a426805, 36a977f7, 6180b1c5, 6180b1c5, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
30436902, 61ac9060, 5283b8c1, 5283b8c1, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
ffa932ac, 80000000, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0, 		1	
d3c6b999, 1f113b7d, b3617a9a, b3617a9a, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
622da46f, 5db1b07b, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
42c1c844, b1e706fb, b52ee0fe, b52ee0fe, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
6699a02e, e75e6e2e, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
5d42c20e, a8671ecf, c62fd48a, c62fd48a, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
eed0c838, ce888ad4, 7ddeb72d, 7ddeb72d, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
da948f6e, bd8587e3, 589afabf, 589afabf, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
394a63a5, 9ac57cd4, 949c215d, 949c215d, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
d6377b01, 679fcd60, fe65112f, fe65112f, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
f5bfbbff, 5da8b341, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
2c96bd7a, f778607f, e4924060, e4924060, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
137f3802, d24cd0bb, a64c30b9, a64c30b9, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
5f9367d7, 46122d0f, 66285655, 66285655, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
3b98d9b0, e5aa82ac, e1cb9d28, e1cb9d28, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
c810159c, 186d2da2, a1057db0, a1057db0, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
8d14aa9b, 532a500f, a0c5cf91, a0c5cf91, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
822f6a34, b79e0a66, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
010ea5e3, 91f45386, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
d5ab449c, eead1f66, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
7f9473c1, 00000000, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0, 		1	
ecc9081b, 2274392a, cfbfc89d, cfbfc89d, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
aef288ce, 2675d070, 95e8e266, 95e8e266, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
b614278b, 916b9564, 080856c1, 080856c1, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
d0298658, 3760508f, c8148ae5, c8148ae5, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
1aff2e69, 49ad76a9, 252ce8a4, 252ce8a4, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
9e45b68c, bf339540, 1e0ab1e8, 1e0ab1e8, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
ea01eb9a, 7f5a8606, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
7219d4c9, b305d8cb, e5a0dba3, e5a0dba3, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
56558291, ce9f175e, e584af95, e584af95, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
638e2211, c129a5b2, e53c60f8, e53c60f8, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
9979fa79, 92fceac1, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
03216f60, 084f0125, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
97b0852a, 2504dba2, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
80bf370a, cf96b598, 10e123c6, 10e123c6, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
f74f8fa1, 13716d60, cb43bee4, cb43bee4, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
58dbe4d6, a9773458, c2d456c0, c2d456c0, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
34903a52, 83749c5c, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
f08cb236, 83636300, 3479f0dd, 3479f0dd, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
