	X  , 	 Y,  		Z, 	  Z teorica ,	R_mode , Round_bit, Guard|Sticky , PASS , ovrf , udrf ,  NAN 
00000000, 00000000, 00000000, 00000000, 	 0, 		0, 			0, 			1, 		0, 		1, 		0	
5b785334, fd83538a, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
bfefc797, 426f8099, c2e053c9, c2e053c9, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
9ca5d86b, 266f2262, 839aeb52, 839aeb52, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
adcd64a3, da9262bf, 48eae53d, 48eae53d, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
103a9532, 965a949a, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
1f7556c1, 9fffc682, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
08cc5ced, c8da381e, 922e33ee, 922e33ee, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
356ac13e, ddd5b4db, d3c3f8a1, d3c3f8a1, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
02a09984, cca68585, 8fd0ee9d, 8fd0ee9d, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
6eb34657, 48f3debe, 782ac7c0, 782ac7c0, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
4999c39d, 4dee548f, 580f26a6, 580f26a6, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
90a0fc4a, 5ddd0988, af0affca, af0affca, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
1df6068f, 3d9eca8e, 1c189ab5, 1c189ab5, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
897a9562, 854e2811, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
541a4a6f, 06625a0c, 1b086bfb, 1b086bfb, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
644e8d45, 2f696454, 543c4f86, 543c4f86, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
04c0cc02, d5917d32, 9adb23ac, 9adb23ac, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
eee4ad77, 8dac48bf, 3d19e587, 3d19e587, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
9b9828dc, d1d0c853, 2df83088, 2df83088, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
2fc7df67, fc8be1d8, ecda6d41, ecda6d41, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
52f90776, c534122f, d8af2aef, d8af2aef, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
1980287d, b24c7870, 8c4cb91d, 8c4cb91d, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
f2e89a2e, 55457324, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
aebf99ea, 158a97e6, 84cf7550, 84cf7550, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
d6e53810, 0cf7fb0e, a45e09e1, a45e09e1, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
1dd7fc68, fda91b1a, dc0eac7e, dc0eac7e, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
a93f4164, c958910f, 3321cb8b, 3321cb8b, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
cf9c2f7e, 6e9199c7, feb1a970, feb1a970, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
e1a6f60d, bfc4f2b8, 620072ae, 620072ae, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
79c11373, 1c2acc1b, 5680d0da, 5680d0da, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
ac1ed4e7, 720c7acf, deae5140, deae5140, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
956561bc, 28b7e69c, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
5d04b6eb, 275ad34f, 44e2e29f, 44e2e29f, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
804d875c, 6c36634d, 80000000, 80000000, 	 1, 		0, 			0, 			0, 		0, 		0, 		0	
cbad6743, 6e1ac768, fa51ae60, fa51ae60, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
60470714, 56c3f400, 77985816, 77985816, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
2d1892af, 68ae7607, 564ff415, 564ff415, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
02df4368, 022d983f, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
6c9de1a2, 58b53488, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
bbefc6c0, f8ff04dd, 756edb87, 756edb87, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
8c3a0afa, 1ce24a9e, 80000000, 80000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
09232b19, c3b07b4f, 8d60f872, 8d60f872, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
a68c71a7, ef4429af, 56573bc4, 56573bc4, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
2326843f, 4eafcc44, 3264b289, 3264b289, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
95c79cc3, 89edabf9, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
017928e3, 1c40eee6, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
1fb9d508, a20745b6, 824463e3, 824463e3, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
eec7d53d, ceeab302, 7e3734a5, 7e3734a5, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
d188ccf6, 96c33fb1, 28d0ac50, 28d0ac50, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
6b89bda5, 48c49d0c, 74d39364, 74d39364, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
a993a83a, a8b3cee5, 12cf6bec, 12cf6bec, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
e2eddfbe, 251953db, c88e78a3, c88e78a3, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
87eee65e, 92ae4269, 00000000, 00000000, 	 1, 		0, 			0, 			1, 		0, 		1, 		0	
b73f9486, c07c0b6c, 383c9ec0, 383c9ec0, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
2cd2ec21, b30369e5, a0588c28, a0588c28, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
80000000, 7f98d12a, 7fc00000, 7fc00000, 	 1, 		0, 			0, 			1, 		0, 		0, 		1	
e8fd2516, c81f19db, 719d5399, 719d5399, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
63eee56b, e4a1dd92, ff800000, ff800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
f98b079e, 13593b98, cd6bf3a4, cd6bf3a4, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
51b49cc5, acaba995, bef238b8, bef238b8, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
15a7a804, db7db13f, b1a62520, b1a62520, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
f05497e5, f81ed62d, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
438e347e, 1193a266, 15a404b4, 15a404b4, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
f1996f0c, d79d58e2, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
45a3b18b, 48596104, 4e8aff87, 4e8aff87, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
94575934, f7a304cc, 4c8921d5, 4c8921d5, 	 1, 		0, 			0, 			1, 		0, 		0, 		0	
db0bfdd2, 4ceb7d44, e880c67f, e880c67f, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
9ca788ac, 71f70681, cf21a91f, cf21a91f, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
3b08d4fc, df53f6ad, dae296c9, dae296c9, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
fb099a6a, da9911a5, 7f800000, 7f800000, 	 1, 		0, 			0, 			1, 		1, 		0, 		0	
5fd3aaf0, 87f4115a, a849cd45, a849cd45, 	 1, 		1, 			0, 			1, 		0, 		0, 		0	
c02ea4f7, 96f29515, 17a57da5, 17a57da5, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
d0718b49, 08e1adfe, 99d4ef95, 99d4ef95, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
61420ed7, 229c332e, 446ccfad, 446ccfad, 	 1, 		1, 			1, 			1, 		0, 		0, 		0	
ed777354, 08ab1b90, b6a564ad, b6a564ad, 	 1, 		0, 			1, 			1, 		0, 		0, 		0	
